Generator,County,Load Zone,Online,Fuel,Prime Mover,Butler PPC Category,AURORA Fuel Category,Net Capacity MW,Average Heat Rate Btu per kWh,Fixed OM Charge USD per kWyr,Variable O&M Charge USD per MWh,Minimum Stable Level frac,Maximum Ramp Rate frac per min,Minimum Down Time HRS,Minimum Up Time HRS,Start Cost USD per MWstart,Minimum Time to Repair HRS,Mean Time to Repair HRS,Maximum Time to Repair HRS,Forced Outage Rate percent,Source
Morgan Creek 5,Mitchell,West,1988,NG,OCGT,Conventional,NG2ERWES,68.0,10173.00,16.95,13.41,0.25,0.14000,1,1,36.1142,0,0,0,0,CDR 12/15
Morgan Creek 6,Mitchell,West,1988,NG,OCGT,Conventional,NG2ERWES,67.0,10173.00,16.95,13.41,0.25,0.14000,1,1,36.1142,0,0,0,0,CDR 12/15
Permian Basin 1,Ward,West,1988,NG,OCGT,Conventional,NGERWES,68.0,10173.00,25.28,4.73,0.25,0.14000,1,1,32.9772,0,0,0,0,CDR 12/15
Permian Basin 2,Ward,West,1988,NG,OCGT,Conventional,NG1ERWES,65.0,10173.00,25.28,4.73,0.25,0.14000,1,1,34.6815,0,0,0,0,CDR 12/15
Permian Basin 3,Ward,West,1988,NG,OCGT,Conventional,NG1ERWES,68.0,10173.00,25.28,4.73,0.25,0.14000,1,1,34.6196,0,0,0,0,CDR 12/15
Permian Basin 4,Ward,West,1990,NG,OCGT,Conventional,NG1ERWES,69.0,10078.00,25.28,4.73,0.25,0.14000,1,1,34.1388,0,0,0,0,CDR 12/15
Permian Basin 5,Ward,West,1990,NG,OCGT,Conventional,NG1ERWES,70.0,10078.00,25.28,4.73,0.25,0.14000,1,1,34.3615,0,0,0,0,CDR 12/15
R W Miller 4,Palo Pinto,North,1994,NG,OCGT,Conventional,NG2ERNOR,104.0,13400.00,16.95,13.41,0.25,0.14000,1,1,34.8845,0,0,0,0,CDR 12/15
R W Miller 5,Palo Pinto,North,1994,NG,OCGT,Conventional,NG2ERNOR,104.0,12873.49,16.95,13.41,0.25,0.14000,1,1,34.8845,0,0,0,0,CDR 12/15
Ray Olinger 4,Collin,North,2001,NG,OCGT,Advanced,NG3ERNOR,75.0,13892.00,19.49,15.43,0.25,0.14000,1,1,35.0963,0,0,0,0,CDR 12/15
Sam Rayburn GT 1,Victoria,South,1963,NG,OCGT,Conventional,NG3ERSOU,11.0,14571.54,19.49,15.43,0.25,0.21000,1,1,20.3483,0,0,0,0,CDR 12/15
Sam Rayburn GT 2,Victoria,South,1963,NG,OCGT,Conventional,NG3ERSOU,11.0,14502.67,19.49,15.43,0.25,0.21000,1,1,20.3483,0,0,0,0,CDR 12/15
San Jacinto SES CTG 1,Harris,Houston,1995,NG,OCGT,Conventional,NGERHOU,81.0,13488.25,25.28,4.73,0.25,0.14000,4,4,37.0370,0,0,0,0,CDR 12/15
San Jacinto SES CTG 2,Harris,Houston,1995,NG,OCGT,Conventional,NGERHOU,81.0,13566.87,25.28,4.73,0.25,0.14000,4,4,37.0370,0,0,0,0,CDR 12/15
Sand Hill Energy Center GT 1,Travis,AEN,2001,NG,OCGT,Advanced,NG1ERSOU,47.0,9888.00,25.28,4.73,0.24,0.44000,1,1,18.7765,0,0,0,0,CDR 12/15
Sand Hill Energy Center GT 2,Travis,AEN,2001,NG,OCGT,Advanced,NG1ERSOU,47.0,9888.00,25.28,4.73,0.24,0.44000,1,1,18.3684,0,0,0,0,CDR 12/15
Sand Hill Energy Center GT 3,Travis,AEN,2001,NG,OCGT,Advanced,NG1ERSOU,47.0,9888.00,25.28,4.73,0.24,0.44000,1,1,19.1847,0,0,0,0,CDR 12/15
Sand Hill Energy Center GT 4,Travis,AEN,2001,NG,OCGT,Advanced,NG1ERSOU,47.0,9888.00,25.28,4.73,0.24,0.44000,1,1,20.0011,0,0,0,0,CDR 12/15
Sand Hill Energy Center GT 6,Travis,AEN,2010,NG,OCGT,Advanced,NG1ERSOU,47.0,9888.00,25.28,4.73,0.24,0.44000,1,1,18.7765,0,0,0,0,CDR 12/15
Sand Hill Energy Center GT 7,Travis,AEN,2010,NG,OCGT,Advanced,NG1ERSOU,47.0,9888.00,25.28,4.73,0.24,0.44000,1,1,18.7765,0,0,0,0,CDR 12/15
Silas Ray 10,Cameron,South,2004,NG,OCGT,Advanced,NG1ERSOU,46.0,9888.00,25.28,4.73,0.24,0.44000,1,1,18.9806,0,0,0,0,CDR 12/15
T H Wharton G 1,Harris,Houston,1967,NG,OCGT,Conventional,NG2ERHOU,13.0,10268.00,16.95,13.41,0.25,0.20000,1,1,19.3680,0,0,0,0,CDR 12/15
T H Wharton GT 51,Harris,Houston,1975,NG,OCGT,Advanced,NG2ERHOU,57.0,9983.00,16.95,13.41,0.25,0.14000,1,1,33.8940,0,0,0,0,CDR 12/15
T H Wharton GT 52,Harris,Houston,1975,NG,OCGT,Advanced,NG2ERHOU,57.0,9983.00,16.95,13.41,0.25,0.14000,1,1,33.7989,0,0,0,0,CDR 12/15
T H Wharton GT 53,Harris,Houston,1975,NG,OCGT,Advanced,NG2ERHOU,57.0,9983.00,16.95,13.41,0.25,0.14000,1,1,33.7989,0,0,0,0,CDR 12/15
T H Wharton GT 54,Harris,Houston,1975,NG,OCGT,Advanced,NG2ERHOU,57.0,9983.00,16.95,13.41,0.25,0.14000,1,1,33.7989,0,0,0,0,CDR 12/15
T H Wharton GT 55,Harris,Houston,1975,NG,OCGT,Advanced,NG2ERHOU,57.0,9983.00,16.95,13.41,0.25,0.14000,1,1,33.7989,0,0,0,0,CDR 12/15
T H Wharton GT 56,Harris,Houston,1975,NG,OCGT,Advanced,NG2ERHOU,57.0,9983.00,16.95,13.41,0.25,0.14000,1,1,33.7989,0,0,0,0,CDR 12/15
V H Braunig 5,Bexar,South,2009,NG,OCGT,Advanced,NG1ERSOU,48.0,9894.00,25.28,4.73,0.24,0.44000,1,1,18.7829,0,0,0,0,CDR 12/15
V H Braunig 6,Bexar,South,2009,NG,OCGT,Advanced,NG1ERSOU,48.0,9894.00,25.28,4.73,0.24,0.44000,1,1,18.7829,0,0,0,0,CDR 12/15
V H Braunig 7,Bexar,South,2009,NG,OCGT,Advanced,NG1ERSOU,48.0,9894.00,25.28,4.73,0.24,0.44000,1,1,18.7829,0,0,0,0,CDR 12/15
V H Braunig 8,Bexar,South,2009,NG,OCGT,Advanced,NG1ERSOU,47.0,9894.00,25.28,4.73,0.24,0.44000,1,1,18.7829,0,0,0,0,CDR 12/15
W A Parish Petra Nova,Fort Bend,Houston,2013,NG,OCGT,Advanced,NG1ERHOU,74.0,9983.00,25.28,4.73,0.25,0.14000,1,1,35.0000,0,0,0,0,CDR 12/15
W A Parish T1,Fort Bend,Houston,1967,NG,OCGT,Conventional,NG3ERHOU,13.0,14466.60,19.49,15.43,0.25,0.20000,1,1,19.1743,0,0,0,0,CDR 12/15
Winchester Power Park 1,Fayette,LCRA,2009,NG,OCGT,Advanced,NG2ERSOU,44.0,9474.61,16.95,13.41,0.24,0.44000,1,1,19.0867,0,0,0,0,CDR 12/15
Winchester Power Park 2,Fayette,LCRA,2009,NG,OCGT,Advanced,NG2ERSOU,44.0,9453.78,16.95,13.41,0.24,0.44000,1,1,19.0867,0,0,0,0,CDR 12/15
Winchester Power Park 3,Fayette,LCRA,2009,NG,OCGT,Advanced,NG2ERSOU,44.0,9465.90,16.95,13.41,0.24,0.44000,1,1,19.0867,0,0,0,0,CDR 12/15
Winchester Power Park 4,Fayette,LCRA,2009,NG,OCGT,Advanced,NG2ERSOU,44.0,9508.26,16.95,13.41,0.24,0.44000,1,1,19.0867,0,0,0,0,CDR 12/15
Bayou Cogen Plant,Harris,Houston,1985,NG,OCGT-CHP,Conventional,NGERHOU,165.6,9926.71,25.28,4.73,0.25,0.14002,1,1,33.8947,0,0,0,0,
BP Chemicals Green Lake Plant,Calhoun,South,1997,NG,OCGT-CHP,Conventional,NGERSOU,8.0,11500.00,25.28,4.73,0.25,0.13989,1,1,33.8827,0,0,0,0,
Equistar Corpus Christi,Nueces,South,1989,NG,OCGT-CHP,Advanced,NGERSOU,12.0,8500.00,25.28,4.73,0.25,0.13983,1,1,33.8865,0,0,0,0,
ExxonMobil Baytown Refinery,Harris,Houston,1989,NG,OCGT-CHP,Conventional,NGERHOU,4.3,14451.37,25.28,4.73,0.25,0.14012,1,1,33.9019,0,0,0,0,
Sweeny Cogen Facility,Brazoria,Houston,2001,NG,OCGT-CHP,Advanced,NGERHOU,430.7,9000.00,25.28,4.73,0.25,0.14000,1,1,33.8939,0,0,0,0,
Texas Gulf Sulphur (New Gulf),Wharton,Houston,1985,NG,OCGT-CHP,Conventional,NG3ERHOU,58.9,14553.24,19.49,15.43,0.25,0.14000,1,1,33.9000,0,0,0,0,
Victoria Texas Plant,Victoria,South,1987,NG,OCGT-CHP,Advanced,NGERSOU,8.9,9000.00,25.28,4.73,0.24,0.43998,1,1,19.3690,0,0,0,0,
B M Davis 1,Nueces,South,1974,NG,ST,,NGERSOU,330.0,10500.00,25.28,4.73,0.38,0.00537,2,2,47.9358,0,0,0,0,CDR 12/15
Cedar Bayou 1,Chambers,Houston,1970,NG,ST,,NGERHOU,745.0,10264.57,25.28,4.73,0.28,0.00537,2,2,47.9358,0,0,0,0,CDR 12/15
Cedar Bayou 2,Chambers,Houston,1972,NG,ST,,NGERHOU,749.0,10271.00,25.28,4.73,0.28,0.00537,2,2,47.9358,0,0,0,0,CDR 12/15
Dansby 1,Brazos,North,1978,NG,ST,,NGERNOR,107.0,11435.04,25.28,4.73,0.38,0.00536,2,2,47.9358,0,0,0,0,CDR 12/15
Decker Creek 1,Travis,AEN,1971,NG,ST,,NGERSOU,315.0,10406.35,25.28,4.73,0.38,0.00542,2,2,48.3132,0,0,0,0,CDR 12/15
Decker Creek 2,Travis,AEN,1978,NG,ST,,NGERSOU,420.0,10725.23,25.28,4.73,0.38,0.00542,2,2,48.3880,0,0,0,0,CDR 12/15
Graham 1,Young,West,1960,NG,ST,,NG1ERWES,234.0,11941.59,25.28,4.73,0.38,0.00538,2,2,47.9358,0,0,0,0,CDR 12/15
Graham 2,Young,West,1969,NG,ST,,NG1ERWES,390.0,11937.17,25.28,4.73,0.38,0.00536,2,2,47.9358,0,0,0,0,CDR 12/15
Greens Bayou 5,Harris,Houston,1973,NG,ST,,NG1ERHOU,371.0,13460.00,25.28,4.73,0.38,0.00540,2,2,50.0000,0,0,0,0,CDR 12/15
Handley 3,Tarrant,North,1963,NG,ST,,NGERNOR,395.0,13692.00,25.28,4.73,0.38,0.00537,2,2,47.9358,0,0,0,0,CDR 12/15
Handley 4,Tarrant,North,1976,NG,ST,,NG1ERNOR,435.0,13692.00,25.28,4.73,0.38,0.00541,2,2,48.4200,0,0,0,0,CDR 12/15
Handley 5,Tarrant,North,1977,NG,ST,,NG1ERNOR,435.0,13692.00,25.28,4.73,0.38,0.00538,2,2,48.0460,0,0,0,0,CDR 12/15
Lake Hubbard 1,Dallas,North,1970,NG,ST,,NG1ERNOR,392.0,12162.02,25.28,4.73,0.38,0.00536,2,2,47.9358,0,0,0,0,CDR 12/15
Lake Hubbard 2,Dallas,North,1973,NG,ST,,NGERNOR,523.0,12104.71,25.28,4.73,0.38,0.00536,2,2,47.9358,0,0,0,0,CDR 12/15
Mountain Creek 6,Dallas,North,1956,NG,ST,,NG1ERNOR,122.0,10825.83,25.28,4.73,0.43,0.00545,2,2,48.3320,0,0,0,0,CDR 12/15
Mountain Creek 7,Dallas,North,1958,NG,ST,,NG1ERNOR,118.0,11518.96,25.28,4.73,0.43,0.00541,2,2,48.5530,0,0,0,0,CDR 12/15
Mountain Creek 8,Dallas,North,1967,NG,ST,,NGERNOR,568.0,10000.00,25.28,4.73,0.28,0.00538,2,2,48.0627,0,0,0,0,CDR 12/15
O W Sommers 1,Bexar,South,1972,NG,ST,,NGERSOU,420.0,12057.50,25.28,4.73,0.38,0.00540,2,2,46.7945,0,0,0,0,CDR 12/15
O W Sommers 2,Bexar,South,1974,NG,ST,,NGERSOU,410.0,10476.92,25.28,4.73,0.38,0.00540,2,2,45.6531,0,0,0,0,CDR 12/15
Pearsall 1,Frio,South,1961,NG,ST,,NGERSOU,19.0,14500.00,25.28,4.73,0.43,0.00520,2,2,47.9358,0,0,0,0,CDR 12/15
Pearsall 2,Frio,South,1961,NG,ST,,NGERSOU,22.0,14500.00,25.28,4.73,0.43,0.00540,2,2,50.0000,0,0,0,0,CDR 12/15
Pearsall 3,Frio,South,1961,NG,ST,,NGERSOU,20.0,14500.00,25.28,4.73,0.43,0.00540,2,2,50.0000,0,0,0,0,CDR 12/15
Powerlane Plant 1,Hunt,North,1966,NG,ST,,NGERNOR,20.0,14500.00,25.28,4.73,0.43,0.00550,2,2,47.9358,0,0,0,0,CDR 12/15
Powerlane Plant 2,Hunt,North,1967,NG,ST,,NG1ERNOR,26.0,14500.00,25.28,4.73,0.43,0.00538,2,2,48.8576,0,0,0,0,CDR 12/15
Powerlane Plant 3,Hunt,North,1978,NG,ST,,NG1ERNOR,41.0,14500.00,25.28,4.73,0.44,0.00561,2,2,48.9880,0,0,0,0,CDR 12/15
R W Miller 1,Palo Pinto,North,1968,NG,ST,,NG2ERNOR,75.0,10947.14,16.95,13.41,0.43,0.00533,2,2,47.9358,0,0,0,0,CDR 12/15
R W Miller 2,Palo Pinto,North,1972,NG,ST,,NG1ERNOR,120.0,11380.74,25.28,4.73,0.38,0.00533,2,2,47.9358,0,0,0,0,CDR 12/15
R W Miller 3,Palo Pinto,North,1925,NG,ST,,NGERNOR,208.0,10334.59,25.28,4.73,0.38,0.00538,2,2,47.9358,0,0,0,0,CDR 12/15
Ray Olinger 1,Collin,North,1967,NG,ST,,NG2ERNOR,78.0,12290.00,16.95,13.41,0.43,0.00538,2,2,47.9358,0,0,0,0,CDR 12/15
Ray Olinger 2,Collin,North,1971,NG,ST,,NG1ERNOR,107.0,11351.00,25.28,4.73,0.38,0.00533,2,2,47.9358,0,0,0,0,CDR 12/15
Ray Olinger 3,Collin,North,1975,NG,ST,,NG1ERNOR,146.0,11350.00,25.28,4.73,0.38,0.00534,2,2,47.9358,0,0,0,0,CDR 12/15
Sim Gideon 1,Bastrop,LCRA,1965,NG,ST,,NGERSOU,130.0,10961.10,25.28,4.73,0.38,0.00540,2,2,51.6232,0,0,0,0,CDR 12/15
Sim Gideon 2,Bastrop,LCRA,1968,NG,ST,,NG1ERSOU,135.0,10801.22,25.28,4.73,0.39,0.00556,2,2,49.7112,0,0,0,0,CDR 12/15
Sim Gideon 3,Bastrop,LCRA,1972,NG,ST,,NGERSOU,336.0,11507.43,25.28,4.73,0.38,0.00541,2,2,48.4344,0,0,0,0,CDR 12/15
Spencer 4,Denton,North,1966,NG,ST,,NG2ERNOR,61.0,14500.00,16.95,13.41,0.55,0.00540,2,2,50.0000,0,0,0,0,CDR 12/15
Spencer 5,Denton,North,1973,NG,ST,,NG2ERNOR,61.0,14195.00,16.95,13.41,0.55,0.00540,2,2,50.0000,0,0,0,0,CDR 12/15
Stryker Creek 1,Cherokee,North,1958,NG,ST,,NG2ERNOR,167.0,13849.56,16.95,13.41,0.39,0.00551,2,2,49.0840,0,0,0,0,CDR 12/15
Stryker Creek 2,Cherokee,North,1965,NG,ST,,NG1ERNOR,502.0,13908.00,25.28,4.73,0.38,0.00536,2,2,50.0000,0,0,0,0,CDR 12/15
Trinidad 6,Henderson,North,1965,NG,ST,,NG2ERNOR,235.0,13510.43,16.95,13.41,0.38,0.00535,2,2,47.9358,0,0,0,0,CDR 12/15
V H Braunig 1,Bexar,South,1966,NG,ST,,NG1ERSOU,220.0,10735.64,25.28,4.73,0.38,0.00536,2,2,47.9358,0,0,0,0,CDR 12/15
V H Braunig 2,Bexar,South,1968,NG,ST,,NG1ERSOU,230.0,10277.50,25.28,4.73,0.38,0.00535,2,2,47.9358,0,0,0,0,CDR 12/15
V H Braunig 3,Bexar,South,1970,NG,ST,,NGERSOU,412.0,11637.64,25.28,4.73,0.38,0.00536,2,2,47.9358,0,0,0,0,CDR 12/15
W A Parish 1,Fort Bend,Houston,1958,NG,ST,,NG1ERHOU,169.0,10962.88,25.28,4.73,0.39,0.00550,2,2,49.3540,0,0,0,0,CDR 12/15
W A Parish 2,Fort Bend,Houston,1958,NG,ST,,NG1ERHOU,169.0,11513.48,25.28,4.73,0.39,0.00550,2,2,49.3540,0,0,0,0,CDR 12/15
W A Parish 3,Fort Bend,Houston,1961,NG,ST,,NG1ERHOU,246.0,12080.35,25.28,4.73,0.38,0.00540,2,2,51.6518,0,0,0,0,CDR 12/15
W A Parish 4,Fort Bend,Houston,1968,NG,ST,,NGERHOU,536.0,11002.29,25.28,4.73,0.28,0.00536,2,2,47.9358,0,0,0,0,CDR 12/15
Acacia Solar,Presidio,West,2012,Solar,PV,,SUN,10.0,-,22.13,0.36,-,-,-,-,-,0,0,0,0,CDR 12/15
"Barilla Solar (FS, Pecos)",Pecos,West,2014,Solar,PV,,SUN,22.0,-,22.13,0.36,-,-,-,-,-,0,0,0,0,CDR 12/15
Blue Wing 1 Solar,Bexar,South,2010,Solar,PV,,SUN,7.6,-,22.13,0.36,-,-,-,-,-,0,0,0,0,CDR 12/15
Blue Wing 2 Solar,Bexar,South,2010,Solar,PV,,SUN,7.3,-,22.13,0.36,-,-,-,-,-,0,0,0,0,CDR 12/15
Downie Ranch Solar (OCI Alamo 5),Uvalde,South,2015,Solar,PV,,SUN,95.0,-,22.13,0.36,-,-,-,-,-,0,0,0,0,CDR 12/15
OCI Alamo 1 Solar,Bexar,South,2013,Solar,PV,,SUN,39.2,-,22.13,0.36,-,-,-,-,-,0,0,0,0,CDR 12/15
OCI Alamo 2-St. Hedwig Solar,Bexar,South,2014,Solar,PV,,SUN,4.4,-,22.13,0.36,-,-,-,-,-,0,0,0,0,CDR 12/15
OCI Alamo 3-Walzem Solar,Bexar,South,2014,Solar,PV,,SUN,5.5,-,22.13,0.36,-,-,-,-,-,0,0,0,0,CDR 12/15
OCI Alamo 4 Solar (Bracketville),Kinney,South,2014,Solar,PV,,SUN,37.6,-,22.13,0.36,-,-,-,-,-,0,0,0,0,CDR 12/15
Renewable Energy Alternatives CCS1,Denton,North,2015,Solar,PV,,SUN,2.0,-,22.13,0.36,-,-,-,-,-,0,0,0,0,CDR 12/15
SunEdison CPS3 Somerset 1 Solar,Bexar,South,2012,Solar,PV,,SUN,5.6,-,22.13,0.36,-,-,-,-,-,0,0,0,0,CDR 12/15
SunEdison Rabel Road Solar,Bexar,South,2012,Solar,PV,,SUN,9.9,-,22.13,0.36,-,-,-,-,-,0,0,0,0,CDR 12/15
SunEdison Somerset 2 Solar,Bexar,South,2012,Solar,PV,,SUN,5.0,-,22.13,0.36,-,-,-,-,-,0,0,0,0,CDR 12/15
SunEdison Valley Road Solar,Bexar,South,2012,Solar,PV,,SUN,9.9,-,22.13,0.36,-,-,-,-,-,0,0,0,0,CDR 12/15
Webberville Solar,Travis,AEN,2011,Solar,PV,,SUN,26.7,-,22.13,0.36,-,-,-,-,-,0,0,0,0,CDR 12/15
Notrees Battery Facility,Winkler,West,2012,Storage,BATT,,,36.0,-,,,-,-,-,-,-,0,0,0,0,CDR 12/15
Comanche Peak U1,Somervell,North,1990,Uranium,ST,,UR,1205.0,10501.00,58.62,1.33,0.30,0.00260,24,168,96.8400,24,72,168,8,CDR 12/15
Comanche Peak U2,Somervell,North,1993,Uranium,ST,,UR,1195.0,10499.00,58.62,1.33,0.30,0.00260,24,168,96.8400,24,72,168,7,CDR 12/15
South Texas U1,Matagorda,South,1988,Uranium,ST,,UR,1286.0,10502.00,58.62,1.33,0.30,0.00260,24,168,96.8400,24,72,168,10,CDR 12/15
South Texas U2,Matagorda,South,1989,Uranium,ST,,UR,1295.0,10498.00,58.62,1.33,0.30,0.00260,24,168,96.8400,24,72,168,15,CDR 12/15
Anacacho Wind,Kinney,South,2012,Wind,WT,,WND,99.8,-,26.22,0.00,-,-,-,-,-,0,0,0,0,CDR 12/15
Barton Chapel Wind,Jack,North,2007,Wind,WT,,WND,120.0,-,26.22,0.00,-,-,-,-,-,0,0,0,0,CDR 12/15
Blue Summit Wind 5,Wilbarger,West,2013,Wind,WT,,WND,9.0,-,26.22,0.00,-,-,-,-,-,0,0,0,0,CDR 12/15
Blue Summit Wind 6,Wilbarger,West,2013,Wind,WT,,WND,126.4,-,26.22,0.00,-,-,-,-,-,0,0,0,0,CDR 12/15
Bobcat Bluff Wind,Archer,North,2012,Wind,WT,,WND,150.0,-,26.22,0.00,-,-,-,-,-,0,0,0,0,CDR 12/15
Briscoe Wind Farm,Briscoe,West,2015,Wind,WT,,WND,150.0,-,26.22,0.00,-,-,-,-,-,0,0,0,0,CDR 12/15
Buffalo Gap Wind Farm 1,Taylor,West,2006,Wind,WT,,WND,120.6,-,26.22,0.00,-,-,-,-,-,0,0,0,0,CDR 12/15
Buffalo Gap Wind Farm 2_1,Taylor,West,2007,Wind,WT,,WND,115.5,-,26.22,0.00,-,-,-,-,-,0,0,0,0,CDR 12/15
Buffalo Gap Wind Farm 2_2,Taylor,West,2007,Wind,WT,,WND,117.0,-,26.22,0.00,-,-,-,-,-,0,0,0,0,CDR 12/15
Buffalo Gap Wind Farm 3,Taylor,West,2008,Wind,WT,,WND,170.2,-,26.22,0.00,-,-,-,-,-,0,0,0,0,CDR 12/15
Bull Creek Wind Plant U1,Borden,West,2009,Wind,WT,,WND,88.0,-,26.22,0.00,-,-,-,-,-,0,0,0,0,CDR 12/15
Bull Creek Wind Plant U2,Borden,West,2009,Wind,WT,,WND,90.0,-,26.22,0.00,-,-,-,-,-,0,0,0,0,CDR 12/15
Callahan Wind,Callahan,West,2004,Wind,WT,,WND,114.0,-,26.22,0.00,-,-,-,-,-,0,0,0,0,CDR 12/15
Camp Springs Wind 1,Scurry,West,2007,Wind,WT,,WND,130.5,-,26.22,0.00,-,-,-,-,-,0,0,0,0,CDR 12/15
Camp Springs Wind 2,Scurry,West,2007,Wind,WT,,WND,120.0,-,26.22,0.00,-,-,-,-,-,0,0,0,0,CDR 12/15
Capricorn Ridge Wind 1,Sterling,West,2007,Wind,WT,,WND,214.5,-,26.22,0.00,-,-,-,-,-,0,0,0,0,CDR 12/15
Capricorn Ridge Wind 2,Sterling,West,2008,Wind,WT,,WND,186.0,-,26.22,0.00,-,-,-,-,-,0,0,0,0,CDR 12/15
Capricorn Ridge Wind 3,Sterling,West,2007,Wind,WT,,WND,149.5,-,26.22,0.00,-,-,-,-,-,0,0,0,0,CDR 12/15
Capricorn Ridge Wind 4,Coke,West,2008,Wind,WT,,WND,112.5,-,26.22,0.00,-,-,-,-,-,0,0,0,0,CDR 12/15
Cedro Hill Wind 1,Webb,South,2010,Wind,WT,,WND,75.0,-,26.22,0.00,-,-,-,-,-,0,0,0,0,CDR 12/15
Cedro Hill Wind 2,Webb,South,2010,Wind,WT,,WND,75.0,-,26.22,0.00,-,-,-,-,-,0,0,0,0,CDR 12/15
Champion Wind Farm,Nolan,West,2008,Wind,WT,,WND,126.5,-,26.22,0.00,-,-,-,-,-,0,0,0,0,CDR 12/15
Desert Sky Wind Farm 1,Pecos,West,2002,Wind,WT,,WND,84.0,-,26.22,0.00,-,-,-,-,-,0,0,0,0,CDR 12/15
Desert Sky Wind Farm 2,Pecos,West,2002,Wind,WT,,WND,76.5,-,26.22,0.00,-,-,-,-,-,0,0,0,0,CDR 12/15
Elbow Creek Wind,Howard,West,2008,Wind,WT,,WND,118.7,-,26.22,0.00,-,-,-,-,-,0,0,0,0,CDR 12/15
Forest Creek Wind Farm,Glasscock,West,2007,Wind,WT,,WND,124.2,-,26.22,0.00,-,-,-,-,-,0,0,0,0,CDR 12/15
Goat Wind,Sterling,West,2008,Wind,WT,,WND,80.0,-,26.22,0.00,-,-,-,-,-,0,0,0,0,CDR 12/15
Goat Wind 2,Sterling,West,2010,Wind,WT,,WND,69.6,-,26.22,0.00,-,-,-,-,-,0,0,0,0,CDR 12/15
Goldthwaite Wind 1,Mills,North,2014,Wind,WT,,WND,148.6,-,26.22,0.00,-,-,-,-,-,0,0,0,0,CDR 12/15
Grandview 1 (Conway) GV1A,Carson,West,2014,Wind,WT,,WND,107.4,-,26.22,0.00,-,-,-,-,-,0,0,0,0,CDR 12/15
Grandview 1 (Conway) GV1B,Carson,West,2014,Wind,WT,,WND,103.8,-,26.22,0.00,-,-,-,-,-,0,0,0,0,CDR 12/15
Green Mountain Wind (Brazos) U1,Scurry,West,2003,Wind,WT,,WND,99.0,-,26.22,0.00,-,-,-,-,-,0,0,0,0,CDR 12/15
Green Mountain Wind (Brazos) U2,Scurry,West,2003,Wind,WT,,WND,61.0,-,26.22,0.00,-,-,-,-,-,0,0,0,0,CDR 12/15
Green Pastures Wind 1,Knox,West,2015,Wind,WT,,WND,150.0,-,26.22,0.00,-,-,-,-,-,0,0,0,0,CDR 12/15
Green Pastures Wind 2,Knox,West,2015,Wind,WT,,WND,150.0,-,26.22,0.00,-,-,-,-,-,0,0,0,0,CDR 12/15
Hackberry Wind Farm,Shackelford,West,2008,Wind,WT,,WND,163.5,-,26.22,0.00,-,-,-,-,-,0,0,0,0,CDR 12/15
Hereford Wind G,Deaf Smith,West,2015,Wind,WT,,WND,99.9,-,26.22,0.00,-,-,-,-,-,0,0,0,0,CDR 12/15
Hereford Wind V,Deaf Smith,West,2015,Wind,WT,,WND,100.0,-,26.22,0.00,-,-,-,-,-,0,0,0,0,CDR 12/15
Horse Hollow Wind 1,Taylor,West,2005,Wind,WT,,WND,206.6,-,26.22,0.00,-,-,-,-,-,0,0,0,0,CDR 12/15
Horse Hollow Wind 2,Taylor,West,2006,Wind,WT,,WND,158.0,-,26.22,0.00,-,-,-,-,-,0,0,0,0,CDR 12/15
Horse Hollow Wind 3,Taylor,West,2006,Wind,WT,,WND,208.0,-,26.22,0.00,-,-,-,-,-,0,0,0,0,CDR 12/15
Horse Hollow Wind 4,Taylor,West,2006,Wind,WT,,WND,108.0,-,26.22,0.00,-,-,-,-,-,0,0,0,0,CDR 12/15
Inadale Wind,Nolan,West,2008,Wind,WT,,WND,196.6,-,26.22,0.00,-,-,-,-,-,0,0,0,0,CDR 12/15
Indian Mesa Wind Farm,Pecos,West,2001,Wind,WT,,WND,82.5,-,26.22,0.00,-,-,-,-,-,0,0,0,0,CDR 12/15
Javelina Wind Energy,Zapata,South,2015,Wind,WT,,WND,250.0,-,26.22,0.00,-,-,-,-,-,0,0,0,0,CDR 12/15
Jumbo Road Wind 1,Deaf Smith,West,2015,Wind,WT,,WND,146.2,-,26.22,0.00,-,-,-,-,-,0,0,0,0,CDR 12/15
Jumbo Road Wind 2,Deaf Smith,West,2015,Wind,WT,,WND,153.6,-,26.22,0.00,-,-,-,-,-,0,0,0,0,CDR 12/15
Keechi Wind 138 KV Joplin,Jack,North,2014,Wind,WT,,WND,110.0,-,26.22,0.00,-,-,-,-,-,0,0,0,0,CDR 12/15
King Mountain Wind NE,Upton,West,2001,Wind,WT,,WND,79.3,-,26.22,0.00,-,-,-,-,-,0,0,0,0,CDR 12/15
King Mountain Wind NW,Upton,West,2001,Wind,WT,,WND,79.3,-,26.22,0.00,-,-,-,-,-,0,0,0,0,CDR 12/15
King Mountain Wind SE,Upton,West,2001,Wind,WT,,WND,40.3,-,26.22,0.00,-,-,-,-,-,0,0,0,0,CDR 12/15
King Mountain Wind SW,Upton,West,2001,Wind,WT,,WND,79.3,-,26.22,0.00,-,-,-,-,-,0,0,0,0,CDR 12/15
Langford Wind Power,Tom Green,West,2009,Wind,WT,,WND,155.0,-,26.22,0.00,-,-,-,-,-,0,0,0,0,CDR 12/15
Logan's Gap Wind I U1,Comanche,North,2015,Wind,WT,,WND,103.8,-,26.22,0.00,-,-,-,-,-,0,0,0,0,CDR 12/15
